country,year,fatal_pc_km,fatal_mIn,accid_adj_pc_km,p_km,croad_inv_km,croad_maint_km,prop_motorwa,populat,unemploy,petrol_car,alcohol,mot_index_1000,den_populat,cgdp,cgdp_cap,precipit,prop_elder,dps,freight
Poland,2004,1.31523541,77.43,97.92,2.169674434,4141.32,3.548307097,0.15,7.581956584,18.1625,0.86,9.19,313.56,122.14,15.41841731,6862.25,649.68,12.96,1,2.016239191
Poland,2005,1.308777774,77.25,90.79,2.185542155,6119.63,3.615463959,0.14,7.581765803,17.9,0.9,9.5,323.23,122.08,15.48829683,8063.75,608.09,13.15,1,2.052424588
Poland,2006,1.289588953,75.84,85.23,2.197556213,8371.28,3.729806035,0.17,7.581574859,13.9,0.92,10.4,350.76,122.03,15.52757835,8830.82,644.08,13.3,1,2.111665696
Poland,2007,1.294245716,79.58,88.33,2.212986185,10774.78,3.675970708,0.17,7.58121532,9.6,0.93,10.9,382.66,121.93,15.57515319,9861.45,746.75,13.42,1,2.181500588
Poland,2008,1.255754787,77.08,82.11,2.239549721,13511.82,3.779014638,0.2,7.581103239,7.1,0.91,11.4,421.87,121.9,15.62155015,10976.18,637.26,13.46,1,2.219924913
Poland,2009,1.150449409,62.96,68.93,2.264250982,15355.2,3.828153784,0.22,7.581333738,8.1,0.9,10.7,432.53,121.96,15.5445517,9187.88,692.3,13.49,1,2.259450524
Poland,2010,1.08278537,55.1,58.24,2.278319089,17254.61,3.844404477,0.21,7.580044895,9.7,0.92,10.04,453.41,121.6,15.58969274,10224.7,869.77,13.57,1,2.30815874
Poland,2011,1.106870544,58.59,57.6,2.278982117,20910.57,3.828188618,0.26,7.580499809,9.7,0.89,10.21,476.19,121.73,15.59667405,10379.51,590.03,13.61,1,2.319418389
Poland,2012,1.046885191,50.42,52.77,2.279484429,10623.11,3.016389773,0.33,7.580512063,10.1,0.83,10.19,492.44,121.73,15.59294248,10290.36,629.2,13.96,1,2.348947066
Poland,2013,1.008174184,46.66,50.53,2.288562198,5903.68,3.021387788,0.36,7.580497721,10.3,0.75,10.79,509.41,121.73,15.59307552,10293.86,647.43,14.39,1,2.395483654
Poland,2014,0.991669007,45.66,48.73,2.296730987,4098.42,2.960575414,0.37,7.579987633,9,0.73,10.45,526.17,121.59,15.6098291,10711.19,681.33,14.89,1,2.401279887
Poland,2015,0.974511693,44.47,46.41,2.304425896,5153.89,2.994541502,0.37,7.579847765,7.5,0.75,10.48,545.27,121.55,15.63372088,11320.68,517.22,15.42,1,2.417820317
Poland,2016,0.981818607,46.12,48.07,2.311287539,7304.53,2.998015088,0.39,7.579408684,6.2,0.81,10.43,570.9,121.42,14.62951153,11222.91,702.17,15.96,1,2.465010865
Portugal,1998,1.270445908,111.41,224.1825,1.812913357,38038.9375,4.313177098,10.97,7.005770572,6.1,1.57,12.48,305.91,109.68,15.2208139,16407.17,655.08,15.6,0,1.576110894
Portugal,1999,1.245512668,110.83,218.21,1.838849091,38038.9375,4.313177098,12.02,7.008030745,5.5,1.55,13.18,323.95,110.26,15.2235219,16424.42,736.74,15.84,0,1.432809005
Portugal,2000,1.230193379,110.74,198.83,1.857332496,38038.9375,4.169642111,12.52,7.010682468,5.1,1.6,13.08,335.93,110.93,15.24484591,17145.94,1016.05,16.03,0,1.444669231
Portugal,2001,1.145817714,92.06,188.33,1.870403905,38038.9375,4.313177098,13.81,7.014132903,5.1,1.49,13.41,362.61,111.82,15.24718739,17101.99,933.93,16.34,0,1.490941205
Portugal,2002,1.131939295,93.8,183.22,1.895974732,38038.9375,4.26537096,14.8,7.016810706,6.2,1.47,13.23,375.19,112.51,15.25093207,17144.77,907.15,16.57,0,1.487421211
Portugal,2003,1.074450719,84.83,165.79,1.916453949,38038.9375,4.313177098,15.9,7.018891521,7.4,1.52,14.21,382.97,113.05,15.25129746,17076.45,931.32,16.75,0,1.45377686
Portugal,2004,0.995196292,70.47,142.86,1.924279286,38038.9375,4.313177098,16.48,7.020073218,7.8,1.52,13.47,391.48,113.36,15.25961777,17359.74,575.55,16.94,0,1.621384028
Portugal,2005,0.970811611,67.65,133.89,1.934498451,38038.9375,4.212855318,18.49,7.020968911,8.8,1.42,13.34,400.2,113.59,15.26876513,17692.79,522.47,17.18,0,1.639586087
Portugal,2006,0.848804701,49.56,124.6,1.939519253,38038.9375,4.251552813,19.74,7.021684898,8.9,1.41,13.12,408.11,113.78,15.27318653,17844.57,955.27,17.36,0,1.661244609
Portugal,2007,0.889861721,55.54,120.89,1.942504106,38038.9375,4.216550129,20.25,7.022535138,9.1,1.38,12.59,415.76,114,15.28771218,18415.36,580.91,17.54,0,1.673941999
Portugal,2008,0.803457116,44.16,113.3,1.944482672,38038.9375,4.068192543,20.58,7.02338993,8.8,1.37,12.35,417.69,114.22,15.28409219,18226.82,712.47,17.72,0,1.603036056
Portugal,2009,0.797959644,42.98,121.48,1.939519253,38038.9375,4.011563255,20.63,7.023787897,10.7,1.35,12.03,421.94,114.33,15.28028237,18051.12,871.42,17.97,0,1.565965817
Portugal,2010,0.80685803,42.84,116.32,1.92788341,38038.9375,4.06599887,20.86,7.024217948,12,1.28,12.23,443.75,114.44,15.28300708,18146,1080.48,18.26,0,1.560743301
Portugal,2011,0.767897616,38.21,100.1,1.92526051,38038.9375,4.043874483,20.41,7.024186813,12.9,1.19,11.91,445.68,114.43,15.26109626,17254.31,799.76,18.69,0,1.573451822
Portugal,2012,0.691081492,30.45,86.35,1.919757781,38038.9375,4.020900501,20.92,7.022939449,15.8,1.21,10.86,403.99,114.11,15.23111263,16150.3,656.91,19.04,0,1.530711838
Portugal,2013,0.651278014,27.18,90.31,1.918397339,38038.9375,3.928560218,21.25,7.020663278,16.4,1.17,10.54,412.64,113.51,14.23248787,16286.42,915.34,19.38,0,1.574725584
Portugal,2014,0.652246341,27.91,88.56,1.926033597,29428.31,3.913661293,21.42,7.018171952,14.1,1.09,10.35,450.71,112.86,14.23929948,16638.65,1080.65,19.85,0,1.554610285
Portugal,2015,0.646403726,27.95,86.39,1.931813704,36089.07,3.918497424,21.42,7.015980696,12.6,1.1,10.54,455.23,112.29,15.2542096,17307.48,590.91,20.29,0,1.516403148
Portugal,2016,0.589949601,25.24,79.75,1.961231197,31168.55,3.943820362,21.41,7.014576439,11.2,1.09,10.66,469.01,111.93,15.26637283,17856.64,909.68,20.7,1,1.554852434
Slovakia,1998,1.31523541,83.34,168.95,1.307496038,34119.08,3.763520833,1.65,6.731399455,12.7,1.12,12.13,222.01,110.3,13.74981359,10433.18,875.78,11.24,0,1.27600199
Slovakia,1999,1.260548373,68.79,128.59,1.352953912,20983.81,3.744726279,1.66,6.731861262,16.5,1.1,12.13,229.24,110.42,14.71530959,9626.13,930.87,11.32,0,1.290479813
Slovakia,2000,1.153814864,58.72,104.89,1.396722279,20809.46,3.788380515,1.67,6.732285816,18.1625,1.03,11.06,236.02,110.53,14.71227079,9549.64,816.91,11.4,0,1.18582536
Slovakia,2001,1.160468531,60.24,108.75,1.398981067,17196.99,3.764840147,1.67,6.730684104,18.1625,1.03,10.73,240.35,110.12,13.71474876,9639.7,904.85,11.44,0,1.170261715
Slovakia,2002,1.176380692,65.07,103.09,1.414639147,21474.69,3.755878665,1.7,6.730697669,18.1625,1.23,10.78,246.68,110.12,14.73411145,10078.9,887.32,11.39,0,1.202215776
Slovakia,2003,1.163161375,63.63,110.05,1.418632687,15976.48,3.738673557,1.76,6.730368288,17.7,1.08,9.85,252.32,110.04,14.7483276,10422.12,560.82,11.47,0,1.249198357
Slovakia,2004,1.154119526,62.55,109.07,1.420450859,16980.86,3.763636854,1.78,6.730125979,18.1625,1.21,10.03,222.83,109.98,14.76466173,10827.72,851.04,11.57,0,1.290702243
Slovakia,2005,1.137986733,61.24,106.45,1.428458774,10071.7,3.446954796,0.75,6.73019146,16.4,1.25,10.83,242.65,109.99,14.79216047,11533.73,950.43,11.68,0,1.372359583
Slovakia,2006,1.122543524,60.12,106.29,1.43679851,11022.51,3.542506744,0.75,6.730211102,13.5,1.27,10.31,248.23,110,14.81870744,12260.24,757.51,11.82,0,1.36567514
Slovakia,2007,1.174931594,67.56,112.3,1.431202885,13672.34,3.613069761,0.83,6.73023147,11.2,1.31,10.63,266.86,110,14.86154636,13530.5,767.48,11.96,0,1.44963265
Slovakia,2008,1.125481266,60.64,111.92,1.437750563,14332.52,3.609672298,0.88,6.730464511,9.6,1.31,11.43,287.37,110.06,14.8794113,14091.26,743.44,12.1,0,1.481155871
Slovakia,2009,0.94792362,38.64,92.05,1.43806745,16569.88,3.681853342,0.89,6.730976131,12.1,1.15,10.69,295.22,110.19,14.84731966,13072.09,774.84,12.24,0,1.458033192
Slovakia,2010,0.95230801,39.7,84.86,1.445292769,8609.22,3.644074062,0.96,6.73162188,14.5,1.26,10.55,309.64,110.36,14.8689558,13719.37,1113.69,12.44,0,1.456062224
Slovakia,2011,0.933993164,37.83,92.09,1.445448514,10438.75,3.579178592,0.97,6.731785885,13.7,1.17,10.78,324.4,110.4,14.87292508,13840.09,587.69,12.58,0,1.479719235
Slovakia,2012,0.925827575,37.01,67.35,1.446226402,7243.72,3.65285528,0.97,6.732741298,14,1.1,10.66,337.54,110.64,14.87220291,13786.75,650.18,12.78,0,1.486996888
Slovakia,2013,0.767897616,24.4,71.96,1.44963265,8264.95,3.670660462,0.97,6.733264451,14.2,1.07,10.54,347.41,110.78,14.86862093,13657.04,778.96,13.13,0,1.493458051
Slovakia,2014,0.870403905,32.31,64.29,1.451018452,12640.93,3.619199803,0.97,6.733674646,13.2,1.03,10.89,359.88,110.88,14.87968639,13996.3,959.1,13.54,0,1.510008513
Slovakia,2015,0.857935265,31.54,66.62,1.455301772,25501.69,3.655385298,1.04,6.734107446,11.5,0.98,10.78,375.29,110.99,14.90140928,14699.5,697.17,13.96,0,1.538322333
Slovakia,2016,0.814913181,28.38,75.01,1.459995256,16978.34,3.686541536,1.04,6.734500039,9.7,1.03,10.14,391.02,111.09,14.90927247,14954.51,816.51,14.45,0,1.569841899
Slovenia,1998,1.090963077,108.32,143.36,1.300595484,13178.78,3.668495874,0.99,6.297743883,7.4,1.49,14.61,410.09,97.91,14.58666606,19450.31,1525.41875,13.22,1,0.681241237
Slovenia,1999,1.095518042,116.26,123.19,1.323664536,16222.38,3.667986853,1,6.296299834,7.4,1.35,12.28,429.15,97.58,13.57182525,18859.24,1525.41875,13.58,1,0.716003344
Slovenia,2000,1.059941888,107.16,199.95,1.328990855,15692.16,3.522896551,1,6.298363073,6.7,1.3,12.8,437.18,98.05,14.55123036,17900.77,1367.4,13.85,1,0.799340549
Slovenia,2001,0.999565488,93.97,204.27,1.338456494,11598.51,3.43078915,1.2,6.298873809,6.2,1.34,11.58,444.7,98.16,14.53720183,17311.27,1371.44,14.14,1,0.905256049
Slovenia,2002,0.992553518,94.28,212.38,1.348110068,12314.23,3.395460942,1.21,6.299731035,6.3,1.33,9.87,458.62,98.36,14.53359414,17134.36,1525.41875,14.47,1,0.881384657
Slovenia,2003,0.952792443,85.21,224.1825,1.348888723,16302.46,3.415384063,1.27,6.299950301,6.7,1.39,11.55,446.11,98.41,10.53529412,17192.46,1206.79,14.77,1,0.905256049
Slovenia,2004,0.985426474,95.67,224.1825,1.362482475,16575.42,3.410642286,1.28,6.300254957,6.3,1.42,10.01,456.31,98.48,14.54426653,17539.39,1525.41875,15.03,1,1.000434077
Slovenia,2005,0.947433722,88.61,201.25,1.371252629,14638.83,3.508063528,1.5,6.300506573,6.5,1.43,11.19,480.58,98.53,14.55585591,18003.41,1525.41875,15.34,1,1.080265627
Slovenia,2006,0.923761961,84.86,205.95,1.38039216,18148.67,3.646916146,1.53,6.301758781,6,1.48,12.26,489.18,98.82,14.57563808,18787.77,1525.41875,15.62,1,1.117602692
Slovenia,2007,0.962369336,98.99,179.31,1.404149249,20242.57,3.625908939,1.52,6.303277723,4.9,1.63,11.02,504.38,99.17,14.60795873,20169.1,1525.41875,15.9,1,1.168202747
Slovenia,2008,0.824125834,70.14,137.31,1.412964272,19593.94,3.621128486,1.79,6.303254392,4.4,1.87,10.94,519.92,99.16,14.61744071,20615.08,1525.41875,16.26,1,1.237040791
Slovenia,2009,0.711807229,52.65,126.75,1.427810573,11350.33,3.625562459,1.92,6.30800128,5.9,1.56,10.52,521,100.25,10.59549622,19386.22,1525.41875,16.44,1,1.197556213
Slovenia,2010,0.606381365,38.1,109.07,1.42553422,6056.93,3.574696676,1.98,6.311112963,7.3,1.61,10.31,518.64,100.97,13.58636222,18847.46,1525.41875,16.53,1,1.228656958
Slovenia,2011,0.671172843,45.85,100.79,1.423081958,3009.19,3.515724198,1.98,6.311794111,8.2,1.7,10.61,520.2,101.13,14.58752015,18867.99,1254.24,16.53,1,1.241546481
Slovenia,2012,0.651278014,42.81,97.34,1.419955748,2669.45,3.497141211,1.98,6.312916847,8.9,1.72,10.95,518.62,101.39,14.56755567,17973.84,1525.41875,16.78,1,1.22762965
Slovenia,2013,0.586587305,34.97,93.09,1.417803723,2665.75,3.498828641,1.98,6.3136188,10.1,1.64,9.53,516.7,101.55,14.55927207,17605.91,1525.41875,17.1,1,1.228143608
Slovenia,2014,0.562292864,32.99,84.64,1.42553422,3268.2,3.460327927,1.98,6.314096113,9.7,1.62,10.92,518.35,101.67,14.57118457,18075.43,1525.41875,17.47,1,1.237292338
Slovenia,2015,0.614897216,39.27,86.09,1.431363764,2623.12,3.510721909,1.99,6.314472913,9,1.58,11.49,522.93,101.75,13.58905553,18818.39,1491.66,17.91,1,1.276691529
Slovenia,2016,0.632457292,42.15,84.48,1.439016728,2571.98,3.550268722,1.99,6.314749459,8,1.65,10.51,531.21,101.82,14.60516493,19517.14,1525.41875,18.41,1,1.294686624
Spain,1998,1.265289626,119.85,160.73,2.442746222,30346.72,3.975855785,5.06,7.603614694,16.4,1.48,11.58,399.82,79.43,15.93437724,21417.23,535.02,15.97,0,2.100370545
Spain,1999,1.23146959,116.79,152.57,2.469144282,25536.47,3.997209834,5.43,7.605343506,13.6,1.48,11.33,418.03,79.75,15.93546696,21385.62,604.97,16.29,0,2.131169383
Spain,2000,1.218797998,116.26,147.78,2.482316072,27918.91,4.021296825,5.53,7.607135168,11.9,1.47,11.84,431.16,80.08,15.95949454,22509.22,635.58,16.53,0,2.175279818
Spain,2001,1.197280558,111.69,147.69,2.489902256,29383.3,4.033594223,5.84,7.609226608,10.6,1.49,12.35,446.35,80.47,15.97853657,23404.97,617.48,16.79,0,2.209649035
Spain,2002,1.178401342,108.08,142.45,2.499687083,32956.5,4.056800456,5.93,7.613157391,11.5,1.48,10.74,456.51,81.2,14.99069396,23852.73,634.01,17.01,0,2.268460959
Spain,2003,1.173768823,107.13,147.76,2.509108393,32335.24,4.056162488,6.26,7.621465428,11.5,1.56,11.35,446.78,82.77,16.01055435,24495.06,699.61,16.96,0,2.286905353
Spain,2004,1.101403351,90.25,132.61,2.520077215,30442.92,4.0790227,6.51,7.628873557,11,1.54,11.68,459.3,84.19,16.02844924,25094.13,558.59,16.8,0,2.346000701
Spain,2005,1.072249898,84.33,126.18,2.529943402,35516.97,4.11333759,6.9,7.636451175,9.2,1.54,11.92,467.71,85.67,16.04770311,25778.8,445.7,16.56,0,2.369642518
Spain,2006,1.036628895,76.55,144.37,2.533949907,34531.53,4.16037578,7.26,7.643551092,8.5,1.52,11.86,478.37,87.08,16.06382106,26318.57,649.57,16.64,1,2.385230795
Spain,2007,0.999130541,68.82,145.12,2.536924409,34588.71,4.166275552,7.84,7.651129349,8.2,1.53,11.05,485.88,88.62,16.08307241,27035.12,589.25,16.54,1,2.414772858
Spain,2008,0.913283902,53.95,127.93,2.536065795,32900.92,4.22215751,8.19,7.659620932,11.3,1.43,10.24,484.9,90.37,16.0778764,26197.28,759.55,16.44,1,2.387354227
Spain,2009,0.850033258,46.06,116.41,2.545801757,33348.16,4.194451899,8.47,7.665011007,17.9,1.36,9.99,475.44,91.5,16.06419584,25071.91,690.55,16.56,1,2.328175661
Spain,2010,0.822821645,41.52,114.67,2.534825386,24800.19,4.193856436,8.6,7.66732797,18.1625,1.32,9.78,476.44,91.99,16.05514889,24424.87,856.29,16.8,1,2.32442651
Spain,2011,0.763427994,34.35,107.41,2.525070734,16248.67,4.118974959,8.76,7.669011512,18.1625,1.26,9.01,477.36,92.34,16.04036496,23516.47,596.52,17.11,1,2.317729134
Spain,2012,0.739572344,30.78,110.34,2.507923303,17162.13,4.03564023,8.88,7.670414898,18.1625,1.12,8.83,475.2,92.64,16.01795107,22260.71,575.25,17.36,1,2.301485766
Spain,2013,0.688419822,26.3,117.83,2.50179844,13369.65,4.063940646,9.06,7.66957618,18.1625,1.13,8.77,471.35,92.46,16.00440736,21619.42,778.1,17.68,1,2.286905353
Spain,2014,0.702430536,26.79,113.85,2.490941205,12325.72,4.031646756,9.05,7.667566882,18.1625,1.14,8.7,473.63,92.04,16.00996053,21998.04,748.16,18.15,1,2.293958886
Spain,2015,0.692846919,26.87,108.83,2.503177609,12604.43,4.037712878,9.24,7.666981661,18.1625,1.17,8.26,481.29,91.91,16.03209471,23179.64,588.97,18.5,1,2.323025094
Spain,2016,0.691081492,27.8,111.32,2.519670517,11068.17,4.026193213,9.33,7.666893146,18.1625,1.17,8.58,492.61,91.89,16.04680721,23982.83,709.06,18.72,1,2.338456494
Sweden,1998,0.706717782,41.03,74.71,1.953324696,9685.71,3.833112035,1.04,6.946826756,8.2,1.68,6.8,428.48,19.66,15.50635618,36268.84,929.69,17.43,0,1.53529412
Sweden,1999,0.694605199,44.72,69.55,2.005094675,8456.86,3.806574731,1.07,6.947155361,6.7,1.69,6.88,439.33,19.68,15.5093504,36491.49,769.73,17.37,0,1.534026106
Sweden,2000,0.710963119,48.41,65.22,2.019739233,8214.25,3.828002158,1.08,6.947503664,5.6,1.65,6.2,451.28,19.69,15.55152319,40180.58,966.76,17.29,0,1.56371834
Sweden,2001,0.684845362,45.37,65.64,2.024608796,8799.49,3.819274063,1.08,6.948549542,5.8,1.64,6.6,452.45,19.74,14.51441492,36801.82,800.25,17.23,0,1.546048866
Sweden,2002,0.688419822,46.47,72.69,2.031892988,11075.88,3.837744958,1.1,6.949835247,6,1.67,6.9,453.8,19.8,15.5243312,37540.47,668.28,17.2,0,1.575764981
Sweden,2003,0.669316881,44.07,77.3,2.034708651,11683.46,3.800308705,1.14,6.951375846,6.6,1.68,6.9,455.78,19.87,15.53674777,38492.36,699.5,17.16,0,1.575649615
Sweden,2004,0.631443769,39.55,75.25,2.038858502,11914.46,3.796730401,1.2,6.953066925,7.4,1.73,6.6,458.24,19.95,15.5532396,39826.56,765.23,17.17,0,1.57921178
Sweden,2005,0.608526034,36.62,76.85,2.037346804,10629.03,3.809671472,1.2,6.95479193,7.7,1.74,6.5,460.97,20.03,15.55769964,40078.02,785.28,17.25,0,1.59747579
Sweden,2006,0.615950052,37.36,79.06,2.037983949,11293.19,3.812687465,1.24,6.956540736,7.1,1.74,6.5,464.42,20.11,15.57695147,41726.5,822.08,17.3,0,1.611935625
Sweden,2007,0.614897216,37.75,80.56,2.04626098,7418.21,3.639560194,0.86,6.959673665,6.1,1.75,6.9,467.23,20.25,15.59829795,43513.94,798.25,17.35,0,1.618466492
Sweden,2008,0.568201724,32.23,82.26,2.043244354,8070.77,3.635531999,0.87,6.962981179,6.2,1.72,6.9,465.97,20.41,14.57714698,41130.99,799.4,17.52,0,1.637189422
Sweden,2009,0.532754379,28.3,74.56,2.040997692,7770.51,3.589505031,0.9,6.966439674,8.3,1.64,7.3,464.54,20.57,14.5195655,35737.16,781.49,17.77,0,1.556905269
Sweden,2010,0.445604203,20.66,72.43,2.03746634,8061.19,3.626210984,0.92,6.970378633,8.6,1.65,7.31,464.03,20.76,15.58683476,41347.67,727.41,18.1,0,1.571359393
Sweden,2011,0.499687083,24.96,70.6,2.041511113,9117.21,3.611269663,0.91,6.973846663,7.8,1.59,7.34,467.37,20.93,15.62482849,44769.51,886.74,18.45,0,1.578982843
Sweden,2012,0.445604203,20.46,73.85,2.038898212,10397,3.653930918,0.93,6.976939156,8,1.54,7.23,468.88,21.07,15.6397454,46004.87,897.57,18.82,0,1.537567257
Sweden,2013,0.45331834,20.82,64.19,2.038262407,9453.39,3.690368877,0.95,6.980271324,8,1.52,7.32,470.35,21.24,15.64696217,46418.42,709.46,19.13,0,1.538196578
Sweden,2014,0.432969291,19.6,57.85,2.046651217,8732.57,3.678128523,0.97,6.984296153,7.9,1.53,7.2,475.35,21.43,15.64281063,45553.07,783.29,19.41,0,1.633064273
Sweden,2015,0.436162647,19.9,63.75,2.052693942,8654.28,3.740661855,0.99,6.988886828,7.4,1.51,7.16,478.93,21.66,15.65680707,46549.99,883.78,19.62,0,1.62838893
Sweden,2016,0.418301291,18.78,61.2,2.062581984,9598.77,3.715990816,0.99,6.993481113,6.9,1.54,7.18,483.94,21.89,14.66219099,46634.52,728.12,19.77,0,1.640183192
United Kingdom,1998,0.622214023,34.75,102.65,2.704422938,16125.93,4.138276482,0.85,7.766372666,6.1,1.6,10.14,398.89,234.52,15.33565845,37093.08,1320.33,15.85,1,2.238046103
United Kingdom,1999,0.63447727,36.26,105.06,2.704422938,15788.76,4.168997783,0.85,7.767747039,5.9,1.6,10.16,409.25,235.26,16.16768234,37227.43,1198.24,15.83,1,2.223392092
United Kingdom,2000,0.635483747,36.05,104.49,2.704422938,18289.91,4.226063988,0.86,7.769268347,5.4,1.55,10.82,415.16,236.09,16.16768234,42164.4,1266.71,15.81,1,2.22172713
United Kingdom,2001,0.633468456,36.44,100.44,2.704422938,19219.75,4.222539857,0.86,7.770850407,5,1.5,11.29,425.85,236.95,16.16768234,41969.94,898.24,15.83,1,2.215531818
United Kingdom,2002,0.624282096,36.46,94.83,2.704422938,19961.36,4.217527371,0.86,7.772611861,5.1,1.48,11.31,435.2,237.91,16.16768234,42561.65,1337.91,15.87,1,2.217589215
United Kingdom,2003,0.635483747,37.29,92.41,2.704422938,16355.23,4.182252546,0.85,7.774527148,5,1.45,11.25,441,238.96,16.16768234,40442.72,958.56,15.9,1,2.225671043
United Kingdom,2004,0.602059991,33.77,91.5,2.704422938,15545.75,4.233511371,0.87,7.776655864,4.7,1.42,11.55,452.02,240.14,16.16768234,42611.36,1117.48,15.92,1,2.21391601
United Kingdom,2005,0.607455023,33.8,88.07,2.704422938,17459.88,4.244427799,0.88,7.779466984,4.8,1.4,11.37,457.28,241.69,16.16768234,43558.03,1075.9,15.92,1,2.21029176
United Kingdom,2006,0.59439255,32.53,84.39,2.704422938,18919.87,4.242457195,0.87,7.782618525,5.4,1.41,10.96,455.44,243.46,16.16768234,44466.6,1187.46,15.89,1,2.221362067
United Kingdom,2007,0.57863921,30.8,80.27,2.704422938,18043.5,4.215034207,0.87,7.785851245,5.3,1.41,11.14,458.47,245.27,15.44200916,45306.47,1146.51,15.88,1,2.235503196
United Kingdom,2008,0.523746467,25.3,72.81,2.704422938,16983.54,4.148951061,0.88,7.789380778,5.6,1.36,10.78,457.35,247.28,16.16768234,38123.95,1283.94,15.95,1,2.207634367
United Kingdom,2009,0.480006943,21.55,69.73,2.704422938,18068.05,4.076733991,0.88,7.792688197,7.6,1.32,10.14,455.29,249.17,16.16768234,32281.97,1344.07,16.09,1,2.147799949
United Kingdom,2010,0.481442629,20.92,93.99,2.704422938,17281.14,4.018826526,0.88,7.795950875,7.8,1.3,10.22,454.66,251.04,16.16768234,33302.59,1047.07,16.27,1,2.16935109
United Kingdom,2011,0.482873584,20.87,90.82,2.704422938,14197.46,3.943899932,0.88,7.799495854,8.1,1.28,10.02,451.7,253.1,16.16768234,32502.1,1230.61,16.44,1,2.175308825
United Kingdom,2012,0.44870632,18.43,87.51,2.704422938,13757.82,3.931611931,0.89,7.802740136,7.9,1.26,9.76,452.35,255,15.34222523,34631.85,1248.33,16.77,1,2.181700704
United Kingdom,2013,0.462397998,19.04,84.89,2.704422938,14542.79,3.880062643,0.89,7.80553717,7.5,1.24,9.65,456,256.65,16.16768234,33278.19,1147.29,17.19,1,2.148294097
United Kingdom,2014,0.457881897,19.01,85.76,2.704422938,18629.9,3.835230673,0.89,7.808556677,6.1,1.24,9.69,460.15,258.44,16.16768234,35797.49,1338.07,17.51,1,2.134782529
United Kingdom,2015,0.44870632,18.29,82.61,2.704422938,21525.71,3.875983304,0.89,7.811932709,5.3,1.23,9.82,466.44,260.3775,16.16768234,40682.07,1401.7,17.75,1,2.179264464
United Kingdom,2016,0.456366033,19,81.46,2.704422938,20128.35,3.770065153,0.89,7.815438572,4.8,1.23,9.81,471.87,260.3775,16.16768234,36868.23,1116.23,17.91,1,2.193235942
